Numero 	Nom	Arret	Type
A	Aeroport-Hopital	Aeroport	Bus
A	Aeroport-Hopital	IUT	Bus
A	Aeroport-Hopital	Saint-Yves	Bus
A	Aeroport-Hopital	Mediatheque	Bus
A	Aeroport-Hopital	Gare	Bus
A	Aeroport-Hopital	Hopital	Bus
B	Servel-Saint-Marc	Servel	Bus
B	Servel-Saint-Marc	Kerligonan	Bus
B	Servel-Saint-Marc	Saint-Yves	Bus
B	Servel-Saint-Marc	Mediatheque	Bus
B	Servel-Saint-Marc	Kermaria	Bus
B	Servel-Saint-Marc	Maison des Sports	Bus
B	Servel-Saint-Marc	Saint-Marc	Bus
C	IUT-Loguivy	IUT	Bus
C	IUT-Loguivy	Rusquet	Bus
C	IUT-Loguivy	Troquery	Bus
C	IUT-Loguivy	Saint-Marc	Bus
C	IUT-Loguivy	Securite Sociale	Bus
C	IUT-Loguivy	Kermaria	Bus
C	IUT-Loguivy	Gare	Bus
C	IUT-Loguivy	Bel-Air	Bus
C	IUT-Loguivy	Loguivy	Bus
