Numero	Nom	Lignes	AL_X_WGS84	Y_WGS84	ACCES_PMR	MOBILIER	Code commune
1	Aeroport	A	-3.4702763	48.7585421	O	Abri double	22113
2	IUT	A C	-3.4521103	48.7574336	O	Abri simple	22113
3	Saint-Yves	A B	-3.4710467	48.7450403	N	Poteau	22113
4	Mediatheque	A B	-3.4606934	48.7302661	O	Poteau	22113
5	Gare	A C	-3.4604788	48.7284261	O	Abri simple	22113
6	Hopital	A	-3.4653282	48.7235852	O	Abri double	22113
7	Servel	B	-3.4888673	48.7458468	N	Poteau	22113
8	Kerligonan	B	-3.4754133	48.7444318	N	Poteau	22113
9	Kermaria	B C	-3.4571528	48.7273928	O	Poteau	22113
10	Maison des Sports	B	-3.4416819	48.7307473	O	Abri simple	22113
11	Saint-Marc	B C	-3.4424865	48.7338680	O	Abri simple	22113
12	Rusquet	C	-3.4459198	48.7510180	N	Poteau	22113
13	Troquery	C	-3.4431946	48.7428117	N	Poteau	22113
14	Securite Sociale	C	-3.4466600	48.7299052	O	Poteau	22113
15	Bel-Air	C	-3.4802735	48.7219502	O	Abri double	22224
16	Loguivy	C	-3.4798658	48.7348870	N	Poteau	22224
